This file contains a list of when new snapshots of market data were taken.
More recent snapshots appear last.
Retrieved & shuffled on 2015-02-08 01:26:56.483661
Retrieved & shuffled on 2015-02-13 13:29:25.813138
Retrieved & shuffled on 2015-02-13 13:38:39.731321
Retrieved & shuffled on 2015-02-13 13:39:54.418800
Retrieved & shuffled on 2015-02-13 13:40:20.693691
Retrieved & shuffled on 2015-02-13 13:40:44.768805
Retrieved & shuffled on 2015-02-13 13:41:11.933151
Retrieved & shuffled on 2015-02-13 13:41:41.557564
Retrieved & shuffled on 2015-02-13 13:42:04.386255
Retrieved & shuffled on 2015-02-13 13:42:38.679658
Retrieved & shuffled on 2015-02-13 13:45:12.193384
Retrieved & shuffled on 2015-02-13 13:45:50.178857
Retrieved & shuffled on 2015-02-13 13:46:44.117185
Retrieved & shuffled on 2015-02-13 13:48:56.766527
Retrieved & shuffled on 2015-02-13 13:49:45.211060
Retrieved & shuffled on 2015-02-13 13:56:47.575211
Retrieved & shuffled on 2015-02-13 13:58:38.197728
Retrieved & shuffled on 2015-02-13 13:59:48.439512
Retrieved & shuffled on 2015-02-13 14:01:15.251290
Retrieved & shuffled on 2015-02-13 14:06:15.004784
Retrieved & shuffled on 2015-02-13 14:06:50.762791
Retrieved & shuffled on 2015-02-13 15:45:09.545132
Retrieved & shuffled on 2015-02-13 15:50:21.588527
Retrieved & shuffled on 2015-02-13 15:55:47.608815
Retrieved & shuffled on 2015-02-13 20:41:26.992792
Retrieved & shuffled on 2015-02-13 20:46:19.489474
Retrieved & shuffled on 2015-02-13 20:46:28.216008
Retrieved & shuffled on 2015-02-13 20:46:32.530700
Retrieved & shuffled on 2015-02-13 20:47:11.230676
Retrieved & shuffled on 2015-02-13 20:47:45.054070
Retrieved & shuffled on 2015-02-13 20:47:53.686723
Retrieved & shuffled on 2015-02-13 20:47:59.879680
Retrieved & shuffled on 2015-02-13 20:48:10.224940
Retrieved & shuffled on 2015-02-13 20:48:16.374948
Retrieved & shuffled on 2015-02-13 20:48:24.643439
Retrieved & shuffled on 2015-02-13 20:48:33.655562
Retrieved & shuffled on 2015-02-13 20:48:37.544483
Retrieved & shuffled on 2015-02-13 20:48:41.585137
Retrieved & shuffled on 2015-02-13 22:29:00.070391
Retrieved & shuffled on 2015-02-13 23:46:39.637508
Retrieved & shuffled on 2015-02-13 23:46:44.247150
Retrieved & shuffled on 2015-02-13 23:46:48.106937
Retrieved & shuffled on 2015-02-13 23:46:56.989114
Retrieved & shuffled on 2015-02-13 23:47:12.218717
Retrieved & shuffled on 2015-02-13 23:47:35.817661
Retrieved & shuffled on 2015-02-13 23:47:39.076725
Retrieved & shuffled on 2015-02-13 23:47:42.192310
Retrieved & shuffled on 2015-02-13 23:47:48.418750
Retrieved & shuffled on 2015-02-13 23:48:04.700694
Retrieved & shuffled on 2015-02-13 23:48:11.066884
Retrieved & shuffled on 2015-02-13 23:48:16.244937
Retrieved & shuffled on 2015-02-13 23:48:20.321924
Retrieved & shuffled on 2015-02-13 23:48:24.517381
Retrieved & shuffled on 2015-02-13 23:48:29.518338
Retrieved & shuffled on 2015-02-13 23:48:33.111986
Retrieved & shuffled on 2015-02-13 23:48:36.585373
